Distance, Trained X, Trained Y, Trained angle, Trained Response, Querry X, Querry Y, Querry angle, Querry Response, Ground Truth
80.000000,70.000000,25.000000,-86.987213,17.000000,51.000000,24.000000,-91.735703,17.000000,75.000000
20.000000,75.000000,24.000000,-82.947693,27.000000,56.000000,24.000000,-81.209450,24.000000,76.000000
16.000000,81.000000,24.000000,-87.397438,15.000000,62.000000,24.000000,-86.291573,15.000000,76.000000
35.000000,94.000000,24.000000,-105.255119,33.000000,75.000000,24.000000,-99.782402,34.000000,77.000000
47.000000,162.000000,24.000000,-41.566368,16.000000,141.000000,24.000000,-38.107574,20.000000,83.000000
51.000000,329.000000,24.000000,-152.560272,10.000000,310.000000,24.000000,-154.290054,12.000000,0.000000
38.000000,123.000000,25.000000,-113.962494,13.000000,103.000000,25.000000,-108.434952,14.000000,80.000000
46.000000,151.000000,25.000000,71.916557,23.000000,130.000000,25.000000,75.650673,21.000000,82.000000
53.000000,167.000000,25.000000,-82.405357,10.000000,145.000000,25.000000,-78.023865,12.000000,83.000000
57.000000,184.000000,24.000000,-177.305710,12.000000,163.000000,25.000000,170.753876,11.000000,85.000000
47.000000,188.000000,28.000000,53.880657,15.000000,167.000000,25.000000,56.659290,11.000000,85.000000
44.000000,255.000000,25.000000,75.118469,29.000000,235.000000,25.000000,81.521446,30.000000,78.000000
59.000000,281.000000,26.000000,133.667786,12.000000,260.000000,25.000000,130.833496,10.000000,76.000000
39.000000,155.000000,26.000000,105.642250,38.000000,134.000000,26.000000,101.996902,31.000000,82.000000
35.000000,160.000000,26.000000,29.744879,12.000000,140.000000,26.000000,28.495638,12.000000,83.000000
6.000000,170.000000,26.000000,-88.854240,15.000000,149.000000,26.000000,-88.246597,14.000000,84.000000
28.000000,196.000000,26.000000,38.263988,18.000000,175.000000,26.000000,39.650822,22.000000,84.000000
45.000000,228.000000,26.000000,79.508522,18.000000,208.000000,26.000000,76.399460,17.000000,80.000000
50.000000,50.000000,27.000000,-27.474430,27.000000,32.000000,27.000000,-33.690067,30.000000,74.000000
13.000000,69.000000,27.000000,85.515396,13.000000,50.000000,27.000000,87.165894,14.000000,75.000000
11.000000,73.000000,27.000000,83.320114,12.000000,55.000000,27.000000,84.582977,11.000000,76.000000
47.000000,128.000000,27.000000,16.574007,34.000000,108.000000,27.000000,16.113419,33.000000,80.000000
18.000000,181.000000,27.000000,163.406998,44.000000,160.000000,27.000000,164.768890,42.000000,85.000000
8.000000,79.000000,28.000000,89.587807,15.000000,60.000000,28.000000,90.000000,16.000000,76.000000
62.000000,91.000000,28.000000,11.309933,10.000000,71.000000,28.000000,3.814075,11.000000,77.000000
59.000000,106.000000,28.000000,-143.746170,42.000000,87.000000,28.000000,-136.974930,35.000000,79.000000
88.000000,230.000000,28.000000,67.833656,13.000000,210.000000,28.000000,63.434952,15.000000,81.000000
57.000000,263.000000,28.000000,59.981636,24.000000,244.000000,28.000000,53.130100,26.000000,77.000000
43.000000,297.000000,28.000000,76.675468,12.000000,276.000000,28.000000,67.380135,14.000000,84.000000
21.000000,71.000000,29.000000,81.960556,33.000000,52.000000,29.000000,80.065903,30.000000,76.000000
17.000000,124.000000,29.000000,-1.909153,32.000000,104.000000,29.000000,0.000000,32.000000,80.000000
64.000000,145.000000,29.000000,121.476837,10.000000,124.000000,29.000000,137.862411,10.000000,82.000000
10.000000,168.000000,29.000000,-109.895432,12.000000,147.000000,29.000000,-110.026093,11.000000,84.000000
4.000000,172.000000,29.000000,-98.785301,17.000000,151.000000,29.000000,-98.785301,12.000000,84.000000
12.000000,190.000000,29.000000,47.290611,40.000000,169.000000,29.000000,45.982117,42.000000,84.000000
